position,score
r3k2r/1bqn1ppp/p2p4/1p2pPB1/P2Nn3/2P1Q3/2P1B1PP/R4RK1 b kq - 0 15,257
4r3/5ppk/5r1p/2Qp4/3P1N2/4R2P/P1P2PP1/4R1K1 w - - 1 25,966
8/2P2p1k/P2Q2p1/7p/8/7P/6PK/4q3 w - - 1 43,893
8/6p1/5k1p/1p6/3PP3/1r2N2P/5PK1/5R2 w - - 2 43,572
3r4/5ppp/2R5/p2kp3/Br3P2/6P1/6KP/8 b - - 0 37,516
r3kb1r/1p1n1pp1/p1p1pn1p/3p4/2P3P1/1PNPBN1b/1P2PP1P/R4RK1 b kq - 0 12,638
5q2/4Q2n/p2N2pk/4P3/7p/P6P/6P1/7K w - - 6 43,514
8/3Q1qpk/1pr1p2p/2pp2b1/2P1N3/3PP1R1/PP4PP/6K1 w - - 2 27,647
5rk1/2N3b1/p1pp3p/5p2/1P2B2n/P4P1q/5P2/1RBQR1K1 b - - 0 29,99999
2qr1rk1/pp4bp/1nn4B/5p2/8/2pB2QP/PP3PP1/R3R1K1 w - - 0 22,99999
4R3/7k/1qn2rpp/4p3/2P5/3P2P1/8/3Q3K b - - 3 48,423
4r1k1/p2N2pp/2p5/5p2/8/1P1P2P1/4nPBP/5R1K w - - 2 23,473
b6k/p3nrb1/1p1BQ2p/2q2pp1/8/P2B1P2/1P4PP/R4R1K w - - 3 25,765
2kr4/p7/1pP3r1/4qpRn/3R3Q/2K5/P4B2/8 w - - 1 43,133
8/2P2p1k/P2Q2pq/7p/8/7P/6PK/8 w - - 1 43,948
2q2rk1/pp1r1pbp/1nn4B/8/8/2pB2QP/PP3PP1/R3R1K1 w - - 2 22,99999
k7/pp4Pb/3r4/8/2P1q1P1/bP1B3P/P1Q5/1K1RB3 w - - 1 42,797
7k/3nN3/p2PN1Pp/1pr1b3/6p1/P4rP1/1P1R1P2/3R2K1 w - - 7 38,467
r4r2/3q1k1p/pp3b2/3bp3/P7/2N5/1PP1Q1PP/3R1RK1 w - - 2 22,486
r2r4/pp3pk1/1n4p1/2n2P1p/4P2P/q2BQ3/4N3/3RK1R1 b - - 0 28,989
8/pB3p2/P4k1p/5p2/8/b4PPP/4K3/8 w - - 1 32,-1
