position,score
7r/pp1kr1p1/2pbp3/2qb3P/7P/1BB3Q1/P2K1P2/3R4 b - - 9 30,838
2k5/1p6/6B1/8/2P1Npp1/4p3/3r2P1/5RK1 w - - 2 36,510
8/6k1/6p1/8/1K1P1P2/4p3/8/8 w - - 0 74,21
7R/6n1/1p3k2/6rp/8/8/7K/8 b - - 13 64,399
r3k2r/1p4pp/p7/3pp1bP/4n3/R7/PPP1NP2/1R2K3 b kq - 1 22,557
4r1k1/Q4pbp/4p1p1/4P1P1/1p1BpP2/1P2N1P1/r3q3/3R3K b - - 5 42,99999
3r2k1/5R2/p3r1p1/1p5p/7P/1Pq2Q2/P1B5/1K6 b - - 2 44,99997
3r1b2/1p3B1k/1Q4pp/p3p3/8/7P/PP4P1/1K2R3 w - - 1 29,1066
8/R5pp/p6k/4B3/8/1K5P/6r1/3r4 b - - 3 50,532
7r/pp1n2k1/2p2q2/P7/1P2P3/2N2nPQ/4BP2/7K b - - 2 32,984
6k1/4bpp1/p3n2p/8/1P2PB2/2Qq3P/5PP1/6K1 b - - 1 26,783
k7/p5Pb/1p1r4/8/2Pq2P1/bP1B3P/P1Q5/1K1RB3 w - - 0 42,566
1r6/1P3p1p/P2p1kp1/8/8/2q1p1P1/1Q3P1P/1R4K1 w - - 2 30,838
7k/P4pp1/7p/2p1p3/1nNrP3/5P2/1K4PP/R7 w - - 1 33,581
4Q3/5pkp/1n2p3/2p1Pn2/2P5/6P1/8/1q3NK1 b - - 9 40,361
r1nn1B2/p2k1pp1/4p2p/3pP2P/2pP1QP1/2P2N2/qR3P2/1R4K1 w - - 0 24,1062
3r1r1k/4q1pp/1pb5/p1n1pp2/P1B2P2/1PB1n3/1KQ2NPP/R2R4 b - - 0 23,648
8/4k3/3n4/1P6/5PB1/6P1/6K1/8 w - - 1 52,442
8/1PB2p2/3rp3/3bP2k/1K1R3P/8/8/8 w - - 1 65,638
1k6/p5p1/2p1pp2/r2B3p/1n3P1P/8/P4KP1/1b6 b - - 1 32,1157
3krr2/1b2Rp1p/p2p1qp1/2pP2N1/1p6/8/4QPP1/3R2K1 b - - 1 27,660
1R6/5p2/1Pk1b1p1/1r6/3K2P1/7p/5P1P/8 b - - 0 43,496
1k2r3/1pp5/pn2p2p/P5p1/4q3/1Q6/KP3P2/2R5 b - - 1 31,557
6k1/7p/3p2p1/R2P4/2q1r1P1/8/p2Q4/K7 b - - 9 38,352
8/6pp/5p2/8/5P1P/5kP1/8/1K6 b - - 3 49,454
2r3kr/p2p4/4P1q1/8/2Pb4/3bN3/PP1B1PPP/2KR3R b - - 0 24,631
2rr2k1/4pp1p/p5p1/1p6/6N1/1P5P/5PP1/3R2K1 b - - 2 28,766
2R5/2R2p2/p4k2/P7/4PP1r/3PK3/1P3P2/7q b - - 0 42,451
r1b2rk1/pp2bppp/5n2/3pN2q/1P3B2/P3P1P1/2Q2P1P/1R1R1BK1 b - - 9 25,-2
1krq4/1b3p1p/p2p2r1/1p1np2N/3nP2P/1P6/P2Q2B1/5R1K b - - 0 32,1540
r2qkb1r/pbp2ppp/1pn5/4P3/4P1n1/1P6/P1PN2PP/R1BQKBNR b KQkq - 2 9,487
1q2r1k1/1p1P1p1p/p1p3pb/P4b2/1PP5/2Q2N1P/5BP1/2R1RB1K w - - 1 35,2304
r4Bk1/pp4pp/8/3p4/3P2br/b2B1R1P/3K4/4R3 b - - 1 26,515
3k3r/8/1NBp2q1/pP1P1b2/5n1p/P4R1p/4r1PK/2Q3N1 b - - 3 38,99999
3krr2/1b2Rp1p/p2p1qp1/2pP4/1p6/5N2/4QPP1/1R4K1 b - - 1 27,688
1rq3k1/3n1pp1/1rp1p2p/8/1PRQP3/p7/P4PPP/5RK1 b - - 1 26,507
r2qkb1r/1bpp2pp/np6/p2Pp2n/2PQPp2/P1N2P1N/1P4PP/1RB1KB1R b Kkq - 3 10,811
4kb1r/2qnpp2/4rnp1/2pPP2p/7P/2N2N2/PP2Q1P1/R1BK3R b k - 2 15,-264
r5k1/pp4pp/3B4/3p1R2/3P2br/b2B3P/3K4/4R3 b - - 1 26,354
8/5R2/2k1p3/6p1/4K1n1/4B3/5P2/4r3 b - - 1 52,2
8/p4k1p/1pn2p2/5N2/r7/4B1P1/P4P1P/6K1 b - - 4 31,491
8/5k2/2R5/3N1p1r/8/2b5/6K1/8 w - - 2 75,-8
r4k2/7R/1p3Np1/p1p1pn2/5b2/P6P/1PP2P2/3R3K w - - 0 28,464
b4r1k/p3n1b1/1p1BQ2p/5pp1/8/q2B1P2/1P4PP/R4R1K w - - 0 25,770
6k1/5pp1/p1q5/8/1rP4p/5PnP/5N2/R4BK1 b - - 1 35,616
8/2k5/2P4P/6K1/8/2nB2P1/1p6/8 w - - 1 50,447
3k4/1bQ5/p1q2p1n/1pb5/4R2P/P2P4/8/5K2 b - - 1 37,834
r5k1/pp4pp/8/3p4/3P2br/b2B1R1P/3K3B/4R3 b - - 1 26,783
1r6/5k1p/b3pq1P/p2p1p2/8/P4RP1/2r2P2/R2Q2K1 w - - 2 32,-308
3Q4/5p1p/3b1npk/1B1p4/8/4P2P/5PP1/3R2K1 w - - 3 41,1011
5r1k/6bp/3QR3/5p2/2PBp3/2P3P1/1P3P1K/3q4 w - - 5 46,99999
1r3q1k/pn4p1/1p1bb2p/3P3P/4B3/3QBP2/P4K2/R5R1 w - - 1 28,475
r2qk2r/pp1n1pp1/2pbbn2/3p2p1/3P4/2NBP3/PPQ1NPPP/R4RK1 b kq - 5 11,635
8/6pk/1r5p/p2pp3/P3bP2/1PqRP2P/5RPK/8 b - - 1 46,697
8/3Qbqpk/1pr4p/2ppp3/2P1N3/3PP1R1/PP4PP/6K1 w - - 0 27,298
r3nr1k/pp4p1/3p3p/1P2Np2/7q/BQ1P2P1/4PP1P/R4RK1 w - - 1 24,1253
8/8/R2p2k1/5bpp/3P4/8/r3RKP1/8 w - - 8 60,478
2r1r1k1/pR1N1pp1/2pb4/3pN1np/3P1P2/4P1P1/P1q3P1/3R2K1 b - - 0 31,1310
8/3KP3/6b1/8/3PN3/1p5k/1P3p2/8 w - - 2 66,600
4rbk1/pb3qpp/1p3p2/1Pp1P3/P1n2P2/2NQ3P/1B4P1/3R2KN b - - 2 33,339
r4rk1/1p3p1p/p2p2P1/5P1R/5p2/qPb5/P1P5/1K1R1B2 b - - 1 27,99999
8/r5R1/R7/4pp1k/7P/2p3P1/5PK1/1r6 w - - 0 43,99999
2r2rk1/pp1q2pb/2n4p/2Q4P/2P1pp1N/8/PP4BK/8 b - - 0 29,1212
2qr1rk1/pp3pbp/2n4B/8/n7/2pB2QP/PP3PP1/R3R1K1 w - - 2 22,99999
5rk1/6pp/1p6/6PP/p2N4/4K3/3n1p2/2R5 b - - 0 41,712
r7/1pp1k3/p3pn2/7p/4PPpP/8/PK2N1P1/3R3R w - - 0 22,480
4r1k1/2Q2pbp/4p1p1/4P1P1/1p2pP2/1P2N1P1/rB2q3/3R3K b - - 5 42,1353
r3kb1r/pq1n1ppp/R1b1pn2/1B4B1/3PP3/1QN2N2/5PPP/5RK1 w kq - 5 14,552
r7/P5R1/R7/4pp1k/7P/2p3P1/5PK1/5r2 w - - 7 43,99999
r3k3/p4p1p/2bbn3/1ppB3Q/8/P1N1P3/R1PP1RpP/1N4K1 w q - 0 20,1714
3r2r1/pk2bp2/4p3/2p1P3/3n3p/N4pR1/PP1B1P1P/R2K4 b - - 1 27,485
2kr2r1/pp1b1p1Q/4p2P/3p4/3n1P2/P6R/2P1q1P1/R3KB2 w Q - 0 19,222
5r1k/pbp2pb1/1p2p1pp/3rP3/4B3/6B1/P3qPPP/1R3RK1 b - - 1 21,984
r1b1k2r/pp3pbp/6p1/3B4/5n2/1PP5/5PPP/R2K2NR b kq - 1 16,569
3r3r/6kp/p3pb2/1pn2pp1/2p5/P1N2B2/5PPP/1RR3K1 b - - 7 27,569
4rbkr/p5pp/2N1pn2/8/5B1P/2N5/PP3PP1/2KRR3 w - - 1 23,647
r4rk1/ppn1p2p/2p3p1/6n1/2P1N3/6bq/PPQ1BB2/3R1RK1 b - - 1 22,99999
2b5/1p1n1pk1/2n1p1p1/3pP3/3P1P2/1P1B2R1/3QN2K/8 w - - 1 30,767
2r5/4kpp1/3r4/2R1p3/2Q4N/6q1/PP2PP1P/2K4R w - - 0 23,1586
1r2r1k1/1bQ2pp1/1p3n1p/p2q4/1P1P1N2/P2BP3/5PPP/2R2RK1 w - - 3 23,546
1k6/p5p1/B1p1pp2/r6p/1n3P1P/8/P4KP1/1b6 b - - 1 32,1167
4r2k/pp1B1Qp1/q6p/4p3/3b4/8/1P4PP/5R1K w - - 2 34,519
4n2k/rppq2bB/8/p2Pp1Q1/2P5/8/PP3P2/R3K2R w Q - 1 27,1198
4rk2/6R1/3p1P1N/2pP4/8/1r3PK1/8/8 w - - 2 38,99999
4r3/pp6/nk1b3R/2p3B1/5PP1/7K/P4q2/8 w - - 1 52,-843
5r1k/p5pp/4q3/2n5/1pQ2PP1/8/7P/1KR2R2 w - - 4 39,254
8/1R3pkp/6p1/4b3/1p6/3R2PP/5PK1/1r6 w - - 2 47,195
r4rk1/ppqbppbp/3p2p1/6P1/2P1P2P/1N2nK2/PP1Q4/R4B1R b - - 0 16,590
5k2/p6p/6b1/6P1/1pRr2B1/1Pn2P2/P1P4P/2K5 b - - 2 37,280
5r2/5p2/p5k1/3b4/2P2QP1/7r/1P3P2/2KR4 w - - 1 32,574
8/8/8/1KP4k/7P/3n4/8/8 b - - 3 64,-24
4qr1k/7p/p1p2p2/npN2n2/1P1P1NpP/P1Q3P1/5PBK/4R3 w - - 5 32,733
3r4/2NP1pk1/1p3p2/5b2/6R1/P7/1P1K1P1r/8 b - - 3 40,706
4Qb2/3R1pk1/2N3p1/2r4p/7P/6PK/8/8 w - - 1 51,99998
8/8/2K5/8/3Bk3/8/6n1/8 w - - 1 61,0
2R1r1k1/6rp/4p3/5pQ1/2P4P/6P1/P2pqP1K/8 b - - 5 35,1116
2kr2r1/pp1b1p1Q/4p2P/3p4/3n1q2/P6R/2P1N1P1/R3KB2 w Q - 0 19,633
r1b1k2r/pp3pbp/6p1/3B4/5n2/RPP5/3K1PPP/6NR b kq - 1 16,669
4r1k1/6p1/p4p1p/1p6/5n2/5P2/5P1P/B1RrR1K1 w - - 11 39,357
k7/pp4Pb/r7/8/2Pq2P1/bP1B3P/P1Q5/1K1RB3 w - - 1 42,501
6r1/3nk3/p2pn1P1/3Bp3/1PP2B2/6K1/P7/5R2 b - - 2 39,553
1qb1nrk1/3p1p1p/2nQ2p1/2N1pN2/1p2P2P/6P1/1PP2PB1/4R1K1 b - - 0 22,592
2rq1rk1/1n4pp/p4p2/1P1Pp3/1P6/4B1PP/4NPB1/2R1b1K1 b - - 0 22,692
8/6pp/p4k2/1pb1N3/4P3/P7/1P2p1PP/7K b - - 0 37,99999
5bk1/p1r2p1p/1p2pB2/n3P3/3PRqPP/8/P1r5/R2Q2K1 b - - 1 27,1244
7b/5k2/3ppn2/2pq2B1/6QP/1P3R1K/6P1/8 w - - 8 41,897
1r2rk2/2R2pp1/5q2/1p4P1/p3BP1Q/3P4/4P1K1/7R w - - 3 33,99999
6k1/pp3p1p/1B4p1/8/2Rr4/5P1P/PP3P2/5RK1 w - - 1 25,1148
6k1/3b2p1/4p2p/p2pP3/3Pp3/3qP3/2Q3PP/1r1N1RK1 b - - 5 27,660
r5k1/2r2pbp/1np1P1p1/1p6/nP2P3/PQ6/1B3PPP/3RRBK1 w - - 1 28,712
2n2rk1/p1pq2pb/1p5p/2pP4/2P1pBP1/5rNP/P3Q1K1/4RR2 b - - 1 25,379
5nk1/pb2rppp/1p1Q1n2/6N1/2B5/1P5P/P4PPK/8 w - - 9 26,448
2r5/1p1rNpk1/p1bp3p/5P1p/2P5/1P1qR2P/P4QP1/5RK1 w - - 4 27,825
2rr4/1p2Npk1/p1bp3p/5P1p/2P1q3/1P2R2P/P4QP1/5RK1 w - - 4 27,622
6k1/6p1/7p/p2p4/5PP1/7P/pK2p3/8 b - - 0 37,617
8/1N2k1p1/7p/2n5/3P4/4K2P/P5P1/8 w - - 7 43,560
8/4rk2/6p1/7p/1R6/6PP/1q3P2/6K1 b - - 1 51,619
8/8/7R/4KNk1/4P3/8/1r5p/8 w - - 1 61,135
5r2/5p2/p3b1k1/8/2P2QP1/5r2/1P3P2/2KR4 w - - 1 32,524
7k/p4rbp/2p4q/5p2/2Q1p3/8/P4PPP/3R2K1 w - - 0 28,406
4q1k1/5rp1/3Q3p/p4p2/R7/PPb3P1/4PP1P/3R2K1 w - - 1 29,480
2k5/2P5/3K2n1/4p1N1/4P3/5P1p/8/8 w - - 0 61,309
8/kb1p4/pp6/6n1/3B4/2P4P/Q5P1/4R1K1 w - - 1 36,792
3b4/5r1k/3ppn1p/2p1p1pq/4P1PN/2PP3P/1P3PKN/3Q1R2 b - - 0 45,139
8/8/p4k1p/2p5/Pn1p4/1P1P2B1/2P3P1/6K1 w - - 2 51,48
r4rk1/1p4pp/2p5/p1Pp4/PP1q4/2N2P2/2R2P1P/1R4K1 b - - 1 23,561
3r2kr/p1n2p1p/1pq3p1/4Q3/1P2P3/P4P2/5KPP/5R2 b - - 1 26,721
r5k1/4p2p/2Pb1pB1/3P3p/1r6/4BK2/5P1P/q2R4 b - - 1 36,1367
5R2/1p3ppk/2p1p1b1/2q1P2p/2P4P/1P3rP1/5P2/4Q1K1 b - - 1 26,688
3r2k1/2q2pp1/p1n1p2p/8/P1N2Q2/3n1NP1/1P3PP1/4R1K1 b - - 9 28,614
3k4/1b6/p1q2Q1n/1pb5/4R2P/P2P4/8/5K2 b - - 0 37,875
rr4k1/4n1pp/5p2/1NN1p3/n1P1P3/1P3P2/3BK1PP/R6R w - - 1 21,692
8/p7/6k1/6P1/5P2/5K2/r6p/1R6 b - - 10 75,166
2r1k2q/pp1b2p1/3Qpb2/Bp6/4P3/8/PPP4P/2KR3R w - - 2 21,1258
8/p1r1kpp1/1p1R3p/3Bn3/P1P3P1/2P1P2P/5K2/8 b - - 4 31,387
3r1bk1/pp4pp/1n6/P1p5/3pR1P1/7P/1PPB4/4R1K1 w - - 13 31,346
2q1rb1k/r4pnp/6p1/p1pNP1N1/2P2RP1/7P/2Q2P2/3R2K1 w - - 5 31,428
7k/q5b1/7p/PP2pr2/3p4/3B2PP/R3QP1K/8 w - - 3 43,542
8/8/6Kp/1Q4P1/8/p7/k5P1/8 b - - 1 59,-432
r3kb1r/1p1n1pp1/p1p1pn1p/3p2B1/2P5/1PNP1NPb/1P2PP1P/R4RK1 b kq - 1 12,711
8/6pk/7r/3K4/7Q/8/8/8 w - - 27 57,210
2n2rk1/p1pq2pb/1p5p/2pP4/2P1p1P1/4BQNP/P5K1/4RR2 b - - 0 25,619
r3r1k1/1p3ppp/1q6/n1p2PP1/p1PpbB1b/P4Q2/1P4BP/1R3RK1 b - - 0 22,779
6k1/5pp1/4p2p/pp2P2P/4bPQ1/1P4R1/2rr2P1/6K1 w - - 0 30,99999
3r4/1p5k/1q5p/4pP2/2P1Npp1/3B2P1/rB3P1P/1R1R2K1 w - - 3 36,312
1B4k1/4bpp1/p3n2p/8/1P2P3/3q3P/5PP1/2Q3K1 b - - 1 26,437
8/8/7R/4KNk1/4P3/8/5r1p/8 w - - 1 61,161
2rN1k2/n4r1p/1p1n1pp1/p1p1N3/8/P2PPQP1/1P3P1P/3R1RK1 w - - 1 31,1130
7k/p3b3/1p4np/1Pp1p3/2PpP1P1/P4Kn1/3N3R/2B5 w - - 2 39,729
8/8/N4kp1/5b1p/1P6/4KP2/r5P1/8 b - - 1 37,555
r2qk2r/pb1n1ppp/3bpn2/1Bp1N1B1/Pp1PP3/5Q2/1P3PPP/RN2K2R w KQkq - 3 14,575
r1bq1rk1/pp3pbp/n2p1np1/4p3/P2NPB2/2N4P/1PP1BPP1/R2Q1RK1 b - - 0 10,413
4kb1r/2qnpp2/Q3rnp1/2pPP2p/7P/2N2N2/PP4P1/R1B1K2R b KQk - 2 15,610
r3k3/3b1p2/p1npN1p1/q1p5/2P1P3/1PpPBP2/P2Q2P1/4K1N1 b q - 0 19,747
7k/4R3/6pb/4p3/B7/r5P1/3p1P2/7K b - - 6 48,428
3krr2/1b2Rp1p/p2pQqp1/2pP4/1p6/5N2/5PP1/3R2K1 b - - 1 27,720
r5k1/1pp4p/p5p1/8/3bP1P1/3BB3/PPP3K1/R3R3 w - - 0 26,1083
r1bqk1nr/pppp1ppp/2n5/8/2PP4/2P1Pp2/PB3PPP/R2QKB1R b KQkq - 1 7,397
1r1R3R/p1k2p2/1n6/1p3N2/8/b2P2P1/P3PP1P/6K1 w - - 1 32,788
6RQ/5k2/8/5B2/5K2/8/2r5/8 w - - 1 66,99999
5rk1/pN3pp1/1q2n2p/2p1n2P/6Q1/2P3P1/5BB1/1b4K1 b - - 1 35,1093
1r4k1/2qB1pbp/p5p1/2p5/Q1P1p3/3PP1P1/P2N1P1P/1R4K1 b - - 0 23,-313
4q3/1Q3pk1/6p1/1p2b1N1/1Pp3P1/P5P1/5PK1/8 w - - 1 53,64
2kr4/p6p/1pn5/2Q1P2N/2p3q1/3p1N2/PP3K2/3R1R2 b - - 0 28,442
r3kb1r/pb1n1ppp/Rq2pn2/1B4B1/3PP3/1QN2N2/5PPP/5RK1 w kq - 5 14,692
2B5/4Q3/8/3p4/3k2P1/7P/PP3n2/5K2 b - - 1 57,-613
2Q1b1k1/1pp1r3/3p4/3P4/1PP3B1/P6P/8/6K1 w - - 1 60,557
r4rk1/1p3p2/n2p1bp1/3PpbPp/p1P1q3/2Q1B2P/PP1NBP2/2K3RR w - - 11 27,648
8/6bk/4R2p/1p5Q/2pr1P2/7P/1P4PK/8 w - - 1 40,789
4N3/4K2k/8/8/8/8/8/8 b - - 1 62,-24
8/8/8/p3r1k1/PpPp2P1/1P1K4/7q/8 w - - 2 67,-660
6r1/7k/7P/p2prq2/Pp5Q/1BP5/KP6/5q2 b - - 0 46,99999
3qr1k1/1p1n1pp1/7p/pN1BP3/P1P2rb1/4RN2/1P3P2/R2Q2K1 w - - 1 26,217
4r1k1/5pp1/q6p/8/P1Q1R3/5N1P/1R3PPK/3r4 w - - 3 32,1098
rnbqk2r/1p2bppp/p2p1n2/5p2/8/2P3P1/PP2QPBP/RNB1R1K1 b kq - 1 11,467
4k1nr/b2n1ppp/4p3/3PN3/2P5/1K1bB2P/P4PP1/q2r3R b k - 1 22,2426
2r3kr/p2p4/4P1q1/8/3b4/2PbN3/PP1B1PPP/2KR2R1 b - - 1 24,478
2kr4/p7/1pP4r/5pRn/3R3Q/2K5/P4B2/4q3 w - - 1 43,562
2r1r1k1/pR1N1pp1/2pb4/3pN1np/3PP3/6P1/P1q2PP1/3R2K1 b - - 0 31,1025
3krr2/1b2Rp1p/p2p1qp1/2pP4/1p2Q3/5N2/5PP1/3R2K1 b - - 1 27,660
1r6/7p/5k2/p2Pp2P/2R1P3/Pr6/2K2P2/3N2R1 b - - 2 41,-536
8/5pk1/4p3/3pP1p1/3n2P1/2rB2KP/8/R7 b - - 7 32,550
2r5/5k1p/br2pq1P/p2p1p2/8/P4RP1/5P2/R2Q2K1 w - - 2 32,-426
6k1/3N2pp/4pn2/3p4/pb6/3P1BP1/5P1P/6K1 b - - 0 25,466
1rr5/q2Q1pkp/4nNp1/p1p1P3/5P2/1P4P1/P5BP/4RRK1 w - - 1 24,998
8/1p6/1pp4k/3P4/8/PP6/KB5b/1q1RR3 w - - 2 43,656
rnb1kbnr/p3pppp/2p5/1p1p4/6P1/4P2P/RPPP1PB1/1NBQK1NR w Kkq - 0 6,734
8/2r2Q1k/5p2/4pP1P/4P3/pP6/P3q3/1KR5 b - - 0 41,469
8/pb6/1p3r1k/3R3p/8/7P/P7/6K1 b - - 1 38,747
2r2rk1/ppp3p1/B7/2bP1p2/1n2N1b1/1Q2P3/PB3P2/R3K1R1 w Q - 1 23,870
7r/pp1kr1p1/2pbp3/2qb3P/7P/1BBR2Q1/P4P2/4K3 b - - 9 30,788
8/5p1p/5Ppk/3pP3/7P/5Q1K/1q6/2q5 b - - 3 48,1115
r1b4r/B3k1pp/1p3p2/b1n1p3/8/P1P2N2/4BPPP/3RK2R b K - 3 20,563
8/p3n3/4p1pp/1K2P3/P1p2PP1/2Pk3P/6N1/4B1b1 b - - 0 37,34
r7/1p2bkpp/1R6/8/bN3B2/P1P4P/1P3PP1/6K1 w - - 1 27,505
r1bq1rk1/ppp1ppbp/6p1/n7/2BPP3/2B4P/PP2NPP1/R2QK2R b KQ - 0 10,301
8/1R3pkp/6p1/8/1p5b/3R2PP/5PK1/1r6 w - - 2 47,384
3qr1k1/1p1P1p1p/p1p3pb/P7/1PP5/2Qb1N1P/5BP1/2R1RB1K w - - 1 35,2625
r4rk1/2p3pp/pp1b4/3P1n2/2P2P1q/3Q4/P4B1N/R4R1K b - - 1 23,416
2rq1rk1/5ppb/4pn1p/3pN3/1b2P3/3p2P1/2PN1PBP/R1Q1R1K1 b - - 0 23,487
r1bq1rk1/1p1nbppp/4p3/p2pN3/P4B2/1Pp3PP/Q4PB1/3R1RK1 b - - 1 18,422
rn3r1k/pp2N2p/2p5/3pb1BQ/1Pq5/3B4/4NPP1/3R1K2 w - - 2 22,99999
1r2k1r1/1b1p1p1p/p1q1pp2/5P2/1p6/2P5/2R3PP/1R3B1K b - - 0 27,866
4rbk1/pp1n2pb/2p1rp1p/1P1pP3/3P1B2/PQq3PP/5P2/R3RBK1 b - - 1 24,893
8/6kp/pp1qp1Q1/4bp2/2P1n3/1P4PP/PB4K1/8 b - - 3 38,670
2r4k/3n1pbp/p1p1p1p1/8/NBn5/6PP/1P2PPB1/1RR3K1 w - - 1 24,647
5k2/6R1/3p1P1N/2pP4/7r/1r3PK1/8/8 w - - 2 38,99999
6rk/pR2RQpp/5r2/8/3P2q1/6P1/P4PK1/8 w - - 0 33,317
3r2k1/pb3ppp/1p2pn2/3PN3/3P4/qP1B4/P2Q1PPP/2r1R1K1 b - - 1 20,517
r4rk1/1p3pb1/n2p2p1/3PpbPp/p1P5/2Q1B2P/PPqNBP2/2K3RR w - - 11 27,378
r2qkb1r/p2n1ppp/4pn2/1BpbN1B1/Pp1PP3/5Q2/1P3PPP/RN2K2R w KQkq - 3 14,635
8/6kp/pp1qp3/4bp2/2P1n2Q/1P4PP/PB4K1/8 b - - 3 38,565
r3r1k1/2qb1p1p/1ppp1np1/p2Pp3/1PP1P3/P1NnB1PP/3N1PB1/R2Q1RK1 b - - 0 17,-592
6k1/P5p1/5p1p/2p1p3/1nNrP3/5P2/1K4PP/R7 w - - 0 33,659
8/8/2K5/8/3B1n2/3k4/8/8 w - - 1 61,-1
8/R7/p3r1NK/3p4/3P2kP/8/4b3/8 w - - 8 50,-3
2rqrbk1/p2b1p1p/p1P1pnp1/3pN3/P2P1B2/1P2Q1NP/5PP1/2R1R1K1 w - - 1 27,508
8/8/8/8/1p2K3/1k6/2R5/3r4 b - - 2 67,823
r1q3k1/1p5p/5Qp1/2Pp1b2/p7/2P1BN1P/PP3PP1/R5K1 w - - 1 25,622
5rk1/BPb4p/6p1/1B6/P2NP1b1/6P1/1r5P/2R3K1 w - - 9 36,614
r5k1/pb5p/1p2ppp1/5Q2/5n2/5qP1/1B3P1P/2R1R1K1 b - - 7 36,99999
r5k1/4p2p/2Pb1p2/3P1B1p/1r6/4BK2/3R1P1P/q7 b - - 1 36,1064
5B2/5b1k/5p1n/7p/3Pp3/P4p2/1P6/4K2Q w - - 0 57,458
8/1R3pkp/5bp1/8/1p6/3R2PP/5PK1/3r4 w - - 2 47,397
8/8/2P4P/2k3K1/8/2nB2P1/1p6/8 w - - 1 50,538
1k1rr3/pbp1npp1/1p6/P2q1P1p/2pN1BQ1/2Pn4/2B3PP/R3R1K1 w - - 2 21,-191
6k1/P4pp1/7p/2p1p3/1nN1P3/5P2/1K1r2PP/R7 w - - 1 33,429
8/8/k7/b7/r7/N6P/K2R4/8 b - - 5 56,364
3k4/1b1Q4/p1q2p1n/1pb5/4R2P/P2P4/8/5K2 b - - 1 37,893
2R5/6pk/1r4Np/7P/3n2B1/6pK/8/8 w - - 4 40,99999
3k3r/8/1NBp2q1/pP1P1b2/1Q3n1p/P4R1p/4r1PK/6N1 b - - 3 38,99999
1k1r3r/pbp1npp1/1p6/P1q2P1p/2pN1BQ1/2Pn4/2B3PP/R3R1K1 w - - 2 21,-236
6k1/4rbpp/1B3p2/p7/P7/8/5K2/1r6 b - - 1 45,1363
6rk/3p2Rp/p7/1b6/1p6/6RP/2P2PPK/5q2 b - - 0 33,642
8/2p1q1k1/1p1p2Q1/p5rp/8/1P6/2P5/1K4R1 b - - 0 48,628
8/1p6/1pp4k/3P4/5q2/PP6/KB5b/3RR3 w - - 2 43,400
3r1r1k/4q1pp/1pb5/p1n1pp2/P1B5/1PB1nP2/K1Q2NPP/R2R4 b - - 1 23,788
7r/pp1kr1p1/2pbp3/2qb3P/7P/1BB2PQ1/P7/3RK3 b - - 0 30,1370
2r2r1k/p5pp/2p5/4b3/6p1/2B3N1/PP3PPP/5RK1 w - - 0 25,300
3R4/kP5p/B7/2KPp1p1/4P1b1/8/2r3PP/8 w - - 7 46,476
8/1pb4p/2p5/2Pk4/1PN1pp2/1K5P/6P1/8 w - - 0 41,-178
6k1/1p1n1pp1/7p/8/3Pq3/3NPN1P/r7/3Q2K1 b - - 3 34,682
6rk/1p6/p1p1p3/2PpP2P/1P5b/4p1rP/P6K/R4RB1 b - - 1 33,321
r4rk1/1pq1b1pp/p1p1bp2/4p3/4P3/P1NRBQP1/1nP2PBP/3R2K1 b - - 1 19,313
r3r1k1/3b1pp1/n1pb1q1p/3p4/pp1P4/P2BPN1P/1PQR1PP1/1KN4R b - - 1 17,291
8/5p1k/1p4N1/8/6p1/2KB4/8/8 b - - 5 58,-17
k7/pp4Pb/3r4/8/2q3P1/bP1B3P/P1Q5/1K1RB3 w - - 0 42,834
8/8/6pp/2P5/1N2Pk2/p6P/6PK/8 w - - 1 43,455
r1bqk2r/pp2np1p/3p2p1/2p3B1/3QP3/3B4/PP3PPP/RN3RK1 w kq - 0 12,1363
5rk1/6pp/3Pb3/4Pp2/1q3P2/6P1/1P1R2BP/6K1 b - - 0 42,798
8/p3b3/2k5/1p6/4KPR1/1P4N1/P4P2/8 w - - 0 43,661
4b3/3rk3/7R/3BP2p/1pP2K2/1P6/P6P/8 b - - 0 49,-518
rnbqk2r/1p2bppp/p1Bp1n2/5p2/8/2P3P1/PP3P1P/RNBQR1K1 b kq - 1 11,714
3r2r1/pk2bp2/4p3/2p1P3/3n3p/N4pR1/PP3P1P/R1B1K3 b Q - 1 27,513
r4k2/p3n2R/1p3Np1/2p1p3/5b2/P6P/1PP2P2/3R3K w - - 1 28,491
rn4k1/pb4pp/1pp3r1/1P1p1N2/2P4q/P3PB1P/5PP1/R2Q1RK1 w - - 1 22,820
6k1/R6p/3p2p1/3P4/2q1r1P1/4Q3/p7/K7 b - - 9 38,692
4kr2/8/8/5P2/4K3/8/8/8 b - - 14 69,523
3R1bk1/1p1b1r2/1N1p3p/P2Ppp2/1B3np1/4P3/4BPPP/6K1 w - - 3 31,438
3q2k1/5rp1/3Q3p/p7/R4p2/PPb3P1/4PP1P/3R2K1 w - - 0 29,825
8/8/1Kn5/p1Pk2pp/P4p1P/6P1/8/2N5 b - - 1 50,139
8/8/8/5P2/6Kp/7P/8/6k1 w - - 1 53,681
2rq2k1/p2b2pp/Bp6/n2p4/Q2P2pb/2N1P1N1/PP3r1P/1K4RR b - - 7 21,660
R7/2p5/2Pp1k2/3P4/4K3/4P3/p7/5r2 w - - 6 54,306
